congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
107,2001,h,0,75,0,0.0,0.0,2001-01-03,2001-03-29,0.0,1.33333333333,4.0,6.96438356164
107,2001,h,1,135,1,0.740740740741,20.3703703704,2001-04-03,2001-06-28,0.740740740741,2.22222222222,4.25925925926,8.07407407407
107,2001,h,2,149,0,0.0,0.0,2001-07-10,2001-09-25,0.671140939597,1.34228187919,3.35570469799,6.71140939597
107,2001,h,3,153,1,0.653594771242,21.686746988,2001-10-02,2001-12-20,0.653594771242,1.96078431373,4.57516339869,7.18954248366
107,2002,h,0,79,0,0.0,0.0,2002-01-23,2002-03-20,0.0,1.26582278481,5.06329113924,9.49367088608
107,2002,h,1,203,3,1.47783251232,33.734939759,2002-04-09,2002-06-28,0.615763546798,2.46305418719,4.92610837438,8.12807881773
107,2002,h,2,141,0,0.0,0.0,2002-07-08,2002-09-26,0.0,2.12765957447,5.67375886525,10.6382978723
107,2002,h,3,61,0,0.0,0.0,2002-10-01,2002-11-15,0.0,1.6393442623,4.91803278689,12.2950819672
108,2003,h,0,94,0,0.0,0.0,2003-01-07,2003-03-31,0.0,1.06382978723,4.25531914894,7.44680851064
108,2003,h,1,239,1,0.418410041841,18.0412371134,2003-04-01,2003-06-27,0.418410041841,1.67364016736,4.18410041841,6.69456066946
108,2003,h,2,193,38,19.689119171,97.9381443299,2003-07-08,2003-09-30,0.518134715026,1.55440414508,3.49740932642,8.65284974093
108,2003,h,3,151,0,0.0,0.0,2003-10-01,2003-12-08,0.662251655629,2.64900662252,5.79470198675,9.93377483444
108,2004,h,0,104,0,0.0,0.0,2004-01-20,2004-03-31,0.961538461538,3.84615384615,7.69230769231,13.4615384615
108,2004,h,1,221,0,0.0,0.0,2004-04-01,2004-06-25,0.565610859729,2.26244343891,4.97737556561,8.91402714932
108,2004,h,2,161,1,0.621118012422,18.9743589744,2004-07-06,2004-09-30,0.621118012422,3.10559006211,6.52173913043,12.4223602484
108,2004,h,3,58,0,0.0,0.0,2004-10-04,2004-12-07,0.0,1.72413793103,6.89655172414,16.5517241379
109,2005,h,0,90,1,1.11111111111,18.4331797235,2005-01-04,2005-03-21,1.11111111111,3.33333333333,5.55555555556,8.88888888889
109,2005,h,1,272,1,0.367647058824,14.2857142857,2005-04-05,2005-06-30,0.367647058824,1.47058823529,4.77941176471,8.08823529412
109,2005,h,2,146,0,0.0,0.0,2005-07-11,2005-09-29,0.0,1.3698630137,4.1095890411,8.21917808219
109,2005,h,3,163,1,0.613496932515,16.5898617512,2005-10-06,2005-12-19,0.613496932515,2.45398773006,4.90797546012,8.83435582822
109,2006,h,0,81,0,0.0,0.0,2006-01-31,2006-03-30,0.0,1.23456790123,3.7037037037,8.64197530864
109,2006,h,1,276,0,0.0,0.0,2006-04-04,2006-06-29,0.724637681159,1.8115942029,3.35144927536,6.15942028986
109,2006,h,2,159,4,2.51572327044,57.8703703704,2006-07-10,2006-09-30,0.0,1.88679245283,3.77358490566,7.54716981132
109,2006,h,3,27,2,7.40740740741,64.5161290323,2006-11-13,2006-12-09,0.0,0.0,7.40740740741,16.2962962963
110,2007,h,0,213,0,0.0,0.0,2007-01-04,2007-03-29,0.469483568075,1.40845070423,3.28638497653,6.57276995305
110,2007,h,1,393,0,0.0,0.0,2007-04-17,2007-06-28,0.508905852417,1.52671755725,3.56234096692,7.86259541985
110,2007,h,2,317,0,0.0,0.0,2007-07-11,2007-09-27,0.946372239748,1.57728706625,3.78548895899,7.19242902208
110,2007,h,3,263,46,17.4904942966,97.9674796748,2007-10-01,2007-12-19,1.14068441065,2.66159695817,5.32319391635,9.69581749049
110,2008,h,0,149,0,0.0,0.0,2008-01-15,2008-03-31,1.34228187919,3.35570469799,6.71140939597,12.7516778523
110,2008,h,1,321,0,0.0,0.0,2008-04-01,2008-06-26,1.246105919,2.80373831776,5.60747663551,10.0
110,2008,h,2,205,1,0.487804878049,14.4,2008-07-08,2008-09-29,0.487804878049,2.43902439024,5.36585365854,10.243902439
110,2008,h,3,15,0,0.0,0.0,2008-10-02,2008-12-10,0.0,0.0,0.0,6.66666666667
111,2009,h,0,174,1,0.574712643678,21.9424460432,2009-01-06,2009-03-31,0.574712643678,1.72413793103,4.02298850575,7.64367816092
111,2009,h,1,303,0,0.0,0.0,2009-04-01,2009-06-26,0.742574257426,2.3102310231,4.2904290429,7.59075907591
111,2009,h,2,268,1,0.373134328358,11.1111111111,2009-07-07,2009-09-30,0.746268656716,1.49253731343,3.35820895522,7.08955223881
111,2009,h,3,246,5,2.0325203252,41.28113879,2009-10-01,2009-12-16,0.813008130081,2.43902439024,4.87804878049,9.34959349593
111,2010,h,0,195,3,1.53846153846,29.537366548,2010-01-12,2010-03-25,1.02564102564,2.5641025641,5.64102564103,9.23076923077
111,2010,h,1,219,0,0.0,0.0,2010-04-13,2010-06-30,0.913242009132,2.28310502283,5.02283105023,9.04109589041
111,2010,h,2,151,1,0.662251655629,20.4946996466,2010-07-01,2010-09-30,0.662251655629,1.98675496689,4.6357615894,8.60927152318
111,2010,h,3,99,18,18.1818181818,91.5789473684,2010-11-15,2010-12-22,1.0101010101,3.0303030303,8.08080808081,14.7474747475
112,2011,h,0,212,1,0.471698113208,25.2124645892,2011-01-05,2011-03-31,0.0,0.943396226415,2.35849056604,4.71698113208
112,2011,h,1,281,9,3.20284697509,75.6373937677,2011-04-01,2011-06-24,0.355871886121,1.06761565836,2.84697508897,6.69039145907
112,2011,h,2,247,5,2.02429149798,62.7118644068,2011-07-06,2011-09-23,0.404858299595,1.21457489879,2.83400809717,7.28744939271
112,2011,h,3,208,10,4.80769230769,77.6836158192,2011-10-03,2011-12-20,0.480769230769,1.44230769231,4.32692307692,8.17307692308
112,2012,h,0,151,0,0.0,0.0,2012-01-17,2012-03-29,0.662251655629,1.32450331126,3.31125827815,9.00662251656
112,2012,h,1,299,1,0.334448160535,19.6629213483,2012-04-16,2012-06-29,0.334448160535,1.33779264214,4.01337792642,9.36454849498
112,2012,h,2,152,6,3.94736842105,78.5915492958,2012-07-09,2012-09-21,0.0,1.31578947368,3.28947368421,8.55263157895
112,2012,h,3,51,9,17.6470588235,94.1340782123,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,0,0.0,0.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,89,2,2.24719101124,56.8129330254,2013-01-03,2013-03-21,0.0,1.12359550562,4.49438202247,10.1123595506
113,2013,h,1,215,6,2.79069767442,62.9885057471,2013-04-09,2013-06-28,0.46511627907,1.39534883721,3.95348837209,8.18604651163
113,2013,h,2,200,27,13.5,94.9425287356,2013-07-08,2013-09-30,0.5,1.0,3.5,9.0
113,2013,h,3,87,6,6.89655172414,85.4166666667,2013-10-01,2013-11-19,0.0,1.14942528736,3.44827586207,9.19540229885
lifetime,,h,,14665,290,1.97749744289,44.0366972477,1991-10-03,2013-11-19,1.1379153391,2.26471943446,3.91600179592,5.89965397924
